title,sub_title,Rank,Horse / Owner,Points,Total Comps
2021 Points Display,"GREEN HUNTER 3'3""",,KYLO REN/ SPRINGEN HORSES - CT,72,(1 comps)
2021 Points Display,"GREEN HUNTER 3'3""",14,"AMBITION/ SMITH REZAC, JAI - MA",66,(11 comps)
2021 Points Display,"GREEN HUNTER 3'3""",15,"EMERALD CITY/ DOLAN, MARISSA - MA",65,(2 comps)
2021 Points Display,"GREEN HUNTER 3'3""",16,"INQUIZITIVE/ SLATER, KATHRYN - MA",58,(2 comps)
2021 Points Display,"GREEN HUNTER 3'3""",17,"J'ADORE Z/ SMITH REZAC, JAI - MA",56,(1 comps)
2021 Points Display,"GREEN HUNTER 3'3""",18,"UNWRITTEN/ SMITH REZAC, JAI - MA",55,(1 comps)
2021 Points Display,"GREEN HUNTER 3'3""",19,"THE KING/ CASSIDY, ALICE - VT",54,(8 comps)
2021 Points Display,"GREEN HUNTER 3'3""",20,"KLONDIKE/ CL SPORT HORSES, LLC - MA",26,(1 comps)
2021 Points Display,"GREEN HUNTER 3'3""",21,"HIGH QUALITY/ BELANGER, EMILY  - MA",22,(1 comps)
2021 Points Display,"GREEN HUNTER 3'6""",1,"CAPITOL AFFAIRE/ MARKCROW, DAPHNE - VT",309.5,(5 comps)
2021 Points Display,"GREEN HUNTER 3'6""",2,CAKE WALK/ WESTBROOK HUNT CLUB - CT,296,(3 comps)
2021 Points Display,"GREEN HUNTER 3'6""",3,"SILVER LINING/ SEAMAN, CALLIE - NY",255,(15 comps)
2021 Points Display,"GREEN HUNTER 3'6""",4,CORTO DES DAMES/ BRIGADOON SHOW STABLES INC. - CT,193.8,(8 comps)
2021 Points Display,"GREEN HUNTER 3'6""",5,AFTER HOURS/ SADDLE RIDGE LLC - CT,111.6,(13 comps)
2021 Points Display,"GREEN HUNTER 3'6""",6,MOONSHINE/ HALLOWELL LANE FARM LLC - NY,71,(14 comps)
2021 Points Display,"GREEN HUNTER 3'6""",7,NEXT GENERATION/ STARGAZER HILL FARM - MA,51.5,(1 comps)
2021 Points Display,"GREEN HUNTER 3'6""",8,CHAMPS ÉLYSÉES/ HALLOWELL LANE FARM LLC - NY,50,(7 comps)
2021 Points Display,"GREEN HUNTER 3'6""",9,"MIRACLE MAX/ TAYLOR, APRIL - VT",46,(1 comps)
2021 Points Display,"GREEN HUNTER 3'6""",10,"DOM PERIGNON/ SEAMAN, CALLIE - NY",41,(6 comps)
2021 Points Display,YOUNG HUNTER 5 AND UNDER,1,"CASAMIGOS RFB/ HOUSTON, CANDACE - NH",173.4,(2 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,1,"WATERMARK/ PRIME, KILEY - RI",965.3,(7 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,2,"QUIDAM ADERO/ GOODWIN, JESSIE - CT",639.85,(15 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,3,"GARSINO/ BAYKO, ALEXA - MA",624.3,(12 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,4,"SILVER LINING/ SEAMAN, CALLIE - NY",540.25,(18 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,5,"CIMORENE/ CARLTON, ALEXANDRA - CT",455.35,(11 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,6,CHABLIS/ LIBERTAS FARM LLC - CT,357,(15 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,7,"PROLIFIC/ SEAMAN, CALLIE - NY",351.75,(12 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,8,"DOM PERIGNON/ SEAMAN, CALLIE - NY",264.75,(7 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,9,"SUNSHINE/ MILBURY, CORINNE - MA",170.75,(7 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,10,CHAMPS ÉLYSÉES/ HALLOWELL LANE FARM LLC - NY,82,(6 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,11,"WINSOME/ DUST YOURSELF OFF, LLC - CT",74,(1 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,12,MOONSHINE/ HALLOWELL LANE FARM LLC - NY,67,(2 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,13,"ALL OF ME/ BAYKO, ALEXA - MA",41.25,(1 comps)
2021 Points Display,AMATEUR OWNER HUNTER 18-35 YEARS,14,"DENVER HTF/ ASCHER, BONNIE - CT",20,(1 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,1,"SINATRA/ ALLEN, TINA - CT",277.8,(15 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,2,DUE NORTH/ SILVER SPRINGS FARM - FL,227.9,(12 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,3,"SET TO MUSIC/ SEXTON, LAURA - CT",225,(10 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,4,"VERDICT/ SHEPTOFF, JEAN - MA",218,(15 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,5,SNOWED IN/ SILVER SPRINGS FARM - FL,109,(15 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,6,"KNOCK OUT/ PRICE, MARGARET F. - CT",83,(2 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,7,GURU/ SILVER SPRINGS FARM - FL,46,(9 comps)
2021 Points Display,AMATEUR OWNER HUNTER 36+ YEARS,8,BLUE VELVET/ HOLMAN IMPORTS LLC - MA,36.25,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",1,"WINSOME/ DUST YOURSELF OFF, LLC - CT",1236.15,(16 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",2,"EASTON/ CHENELLE, ARMAND - CT",864.95,(10 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",3,"BECOMING/ LENIHAN, TESS - MA",854.25,(8 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",4,"ALL OF ME/ BAYKO, ALEXA - MA",793.3,(15 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",5,"CHEVITO/ MAOUNIS, LEXI - CT",789.85,(10 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",6,"COCONELLI/ COMBS, JENNIFER - MA",722.05,(7 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",7,"WHITE TIE/ COMBS, JENNIFER - MA",673.25,(7 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",8,"CESANDRO/ MAOUNIS, LEXI - CT",580.75,(8 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",9,"COOPERSTOWN/ WEBSTER, GRACE - MA",524.85,(26 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",10,"TRISTRAM 7/ GILDEA, JULIA - MA",475.95,(6 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",11,"MISS MO/ KASPER, CHELSEA - NH",442.75,(5 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",12,"DENVER HTF/ ASCHER, BONNIE - CT",440.45,(7 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",13,"KEYSTONE/ DWINELL, CHELSEA - FL",435.5,(10 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",14,"HOMESTEAD/ MCKAY RIPPERT, MEREDITH - MA",344.5,(9 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",15,"BIG BANG/ BURGESS, EMELIE - MA",343.25,(6 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",16,"MTM SOUL KISS/ ROUSSEAU, SARA - MA",280,(4 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",17,"CAMPARI/ BODSON, TAYLOR - CT",273.75,(3 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",18,"VISTANO/ MAOUNIS, LEXI - CT",273,(12 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",19,"IT'S AVANTOS/ KENNY, ELIZABETH - MA",252,(5 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",20,"GIOVANNI/ GANGEMI, MARTHA - MA",205,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",21,"KEC CARAGH LAKE/ WICKLUND, SYDNEY - NH",203,(4 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",22,"THOMAS CROWN/ O'NEIL, SHARON - MA",200,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",23,"PS COPY THAT/ SETIAN, SARA - CT",181.5,(3 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",24,"QUALTENDER/ WICKLUND, PAMELA - NH",159,(3 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",25,"CIMORENE/ CARLTON, ALEXANDRA - CT",154.15,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",26,"CHRISTOPHER ROBIN/ COHEN, SOPHIE - CT",145,(4 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",27,"ANTIDOTE/ SMITH, KRISTI - CT",133,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",28,"FINESSE/ ZURAITIS, CASEY - MA",125,(9 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",,"HYDEAWAY/ FERRIGNO, ELLIE - CT",125,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",30,"ASPEN/ STRITTMATTER, JACQUELINE - CT",109,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",31,"FERRERO G/ LEWANDOWSKI, EMMA - MA",91.75,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",32,"RAPHAEL/ DUST YOURSELF OFF, LLC - CT",83,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",33,"BAMBOLINO/ MAGGIORE, JACQUELYN - MA",67,(9 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",34,"CAITANO/ ZINSMEYER, VICTORIA - MA",65,(3 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",35,"DIAMANTE/ CLANCY, LAURA - MA",56,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",36,"TRADE WINDS ENRIQUE/ RAY, LAURA - MA",50,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",37,"CASARIO/ BODSON, TAYLOR - CT",46,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",38,"COOL AID/ STAMM, NICOLE - MA",45,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",39,"BREWSTER/ FLETCHER, KATHRYN - MA",23,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",40,"HALIFAX/ MOYNIHAN-MEE, ALLISON  - MA",20,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-18-35 YEARS",41,"STATUS/ WEISMAN, ALEXA - MA",19,(3 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",1,"FOCUS/ WOOD, WENDY - MA",904.1,(16 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",2,"CHEKANDINO/ OLIYNYK, NICOLE - MA",825.25,(13 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",3,"GEORGETTE LE BON/ DAVIS, MARY - MA",698.5,(8 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",4,"CARINGTON/ GERRITY, CASSIE - MA",586.85,(10 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",5,"BOCCACCIO/ CASH, COLIN - MA",477.45,(12 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",6,"MTM PATRONUS/ VIOLIN, CHRISTY - MA",449.6,(8 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",7,"HM BEAULIEU/ D'ANDREA, KRISTINE  - CT",427.4,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",8,BLUE VELVET/ HOLMAN IMPORTS LLC - MA,366.25,(12 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",9,"BENICIO/ GIORDANO, ROSALIE - MA",341,(5 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",10,"TRUE NORTH/ MALTA, CIRA PACE - CT",323,(9 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",11,"FREEDOM/ CASH, JEANINE - MA",309.6,(17 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",12,"SPENCER/ YOZELL, JOHN - MA",279.8,(4 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",13,"FHRASER/ STRITTMATTER, JACQUELINE - CT",270.25,(5 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",14,"KNOCK OUT/ PRICE, MARGARET F. - CT",260.05,(3 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",15,"VALHALLA/ ELLIS, KATE - MA",237,(10 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",16,"QUINTESSENTIAL/ DIPIETRO, PAIGE - MA",202,(4 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",17,"CONTADOR/ CHU, WYNATTE - CT",193.5,(2 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",18,"MTM MOCHI/ WANGER, AMY - MA",116.6,(1 comps)
2021 Points Display,"AMATEUR OWNER HUNTER 3'3""-36+ YEARS",19,"IVARO V.D. BROUWERSHOEVE/ YATES-MACK, BARRETT E - MA",21,(1 comps)
2021 Points Display,HIGH PERFORMANCE CONFORMATION,1,"SINATRA/ ALLEN, TINA - CT",89,(5 comps)
2021 Points Display,HIGH PERFORMANCE CONFORMATION,2,"KNOCK OUT/ PRICE, MARGARET F. - CT",51,(1 comps)
2021 Points Display,"GREEN CONFORMATION 3'6""",1,"CAPITOL AFFAIRE/ MARKCROW, DAPHNE - VT",113.25,(4 comps)
2021 Points Display,JUNIOR HUNTER-SMALL 15 & UNDER,1,"ZOFIA COR/ WHIDDEN, SOPHIE - CT",204.5,(2 comps)
2021 Points Display,JUNIOR HUNTER-SMALL 15 & UNDER,2,"ILADIN DU ROUET/ MACKENZIE, EVA - CT",94,(1 comps)
2021 Points Display,JUNIOR HUNTER-SMALL 15 & UNDER,3,"COSA NOSTRA/ WRIGHT START OUTSOURCING, LLC - CT",21.25,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,1,"MTM CASABLANCA/ WARREN, CASSIE - CT",453.2,(19 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,2,"QUATEROY/ DESROCHES, DIANNE - MA",240.3,(10 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,3,"DONDER/ BECHTOLD, CLARA - CT",225,(13 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,4,"JOLI COEUR/ LEBEAU, BETH - MA",99,(2 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,5,"FLUGEL/ LANGMEIER, LINDA - CT",93,(3 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,6,"COOL/ DOLAN, HANNA - VT",72,(4 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,7,"KRYPTONITE/ SMITH REZAC, JAI - MA",62,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,8,"SERENDIPITY/ GUIDI, FRANCESCA - MA",46,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,9,"BOOK OF ELI/ ARAKELIAN, CHANCE - CT",22,(7 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 15 & UNDER,10,"LIAM/ KEYWORTH, ADDISON - ME",16,(1 comps)
2021 Points Display,JUNIOR HUNTER-SMALL 16-17,1,"VDL WHITE CHOCOLATE/ MAZZOLA, EVA - MA",587.9,(13 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,1,"FEDERER/ CL SPORT HORSES, LLC - MA",1014,(20 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,2,"TRIBECA/ BUDOVSKY INVESTMENTS, LLC - MA",868.65,(15 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,3,"XZPLENDOR/ MAZZOLA, EVA - MA",589.6,(11 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,4,"RENOIR/ STIEGLER, ALEXA - CT",446.7,(8 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,5,"IN THE LOOP/ HART, TRACY  - CT",291.2,(7 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,6,"FERNDALE/ JANSEN, AVERY - VT",198.8,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,7,"CF CASECCO/ JONES, BRIDEY - ME",149,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,8,"BELLISIMO/ GREMLEY, PAMELA - MA",119,(21 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,9,"IT'S EASY TIME/ FISHERMAN, EVA - MA",115,(2 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,10,"VIVA HENRI/ ANDERSON, GRETCHEN - NH",82.6,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,11,AUDI 2000 Z/ NORTH RUN - VT,62,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,12,"CAMPFIRE/ RYAN, PING - CT",59,(7 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,13,"CLOSING STATEMENT/ HART, MADISON - CT",55,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,14,"LORDAN/ SANDERS, KENYA - MA",48,(5 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,15,"VALEGRO 7/ HWALEK, KYLIE - CT",47,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,16,"FEDERER/ BOWEN, CARLY - MA",43,(4 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,17,"DOUBLE-O7/ ROBELEN, CAROLINE - MA",41,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,18,"COCKTAIL 51/ LEBARON, KATHERINE  - CT",28,(1 comps)
2021 Points Display,JUNIOR HUNTER-LARGE 16-17,19,AMARETTO/ TURTON EQUINE LLC - MA,23,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",1,"COSA NOSTRA/ WRIGHT START OUTSOURCING, LLC - CT",1333.15,(18 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",2,"MTM FASHION/ COVENEY, KATELYN - MA",705.4,(17 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",3,"SPECK-TACULAR/ EARL, HADLEY - MA",562.8,(11 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",4,"ILADIN DU ROUET/ MACKENZIE, EVA - CT",465,(15 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",5,"SMITTEN 57/ HIRSCH, SARAH - MA",387.45,(7 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",6,"LACHLAN/ GITTERMAN, ANNABELLE - MA",218,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",7,"LAST CALL Z/ TIMPANY, HELENA - CT",203.5,(6 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",8,"EXCLUSIVE/ MICHAELSON, DEVON - MA",100,(9 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",9,"WINSOME/ DUST YOURSELF OFF, LLC - CT",64,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",10,TRU BALOU/ COUNTRY LANE FARM - CT,61,(4 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",11,"VDL WHITE CHOCOLATE/ MAZZOLA, EVA - MA",59,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",12,"COLLABORATE/ MURPHY, AMBER - VT",51,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",13,KYLO REN/ SPRINGEN HORSES - CT,45,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-SMALL 15 & UNDER",14,"COUTRAS/ SINGER, SETH - MA",25,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",1,TOPGUN/ EPIC FARM LLC - CT,1630.4,(14 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",2,"AUBERGINE/ STAUFFER, CLARA - VT",1092.65,(16 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",3,"DIARADA16/ KILLEEN, MAGGIE - CT",767.2,(15 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",4,"CLAUDIO Z/ STAUFFER, CLARA - VT",444.75,(6 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",5,"SET SAIL/ RUSIS, LILY - MA",429.25,(13 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",6,"DANTON DU HOUSSOLF/ HUBER, MARGARET - CT",425.25,(5 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",7,"INDIGO/ BERTONE, LILY - MA",304,(8 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",8,"HANDSOME DD/ DESROCHES, DIANNE - MA",273,(5 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",9,"CAIRDEAS/ BAYKO, ALEXA - MA",272,(7 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",10,"CHARLESTON Z/ ATAMIAN, NALINA - MA",268.5,(5 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",11,"AMBITION/ SMITH REZAC, JAI - MA",259,(6 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",12,"WIZZ/ TIMPANY, HELENA - CT",228,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",13,"ELYSSE DE NABAB/ AMBER HILL FARM, LLC - MA",194.45,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",14,"ESH ASLAN DE L'ETRE/ KENDALL, TAYLOR - MA",190,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",15,"KRYPTONITE/ SMITH REZAC, JAI - MA",189,(5 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",16,"HAMILTON/ FRITCHMAN, TATUM - MA",184,(4 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",17,"QUADALUP/ EXNER, LUCINDA - NH",150,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",18,"FORTUNA/ SMITH REZAC, JAI - MA",133.4,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",19,"JOLI COEUR/ LEBEAU, BETH - MA",130.75,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",20,"CRITICAL ROLE/ SMITH REZAC, JAI - MA",113.25,(6 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",21,"CLEVER/ MACKENZIE, EVA - CT",111,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",22,"DARK 'N STORMY/ SIEURIN, KIM - MA",96.5,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",23,"HARRISON/ PANDOLFINI-LOIKO, ADRIA M. - MA",96.2,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",24,"JONSNOW/ BENSON, CELESTE - CT",86.75,(5 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",25,"QUATEROY/ DESROCHES, DIANNE - MA",74,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",26,"CHILMARK/ FLETCHER, EMMA - MA",69,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",27,"LAFAYETTE/ MUHLHAUSER, MAXIMUS - CT",63,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",28,"THE RIDGE CAVALIER/ MCCARTHY, SAMANTHA - MA",48,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",29,"KTS CHRYSTAL LAKE/ CARVAJAL, DANIELA - MA",47.25,(3 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",30,"EASY B/ GALVIN, GILLIAN - CT",46,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",31,"EINDELIJK/ EXNER, JILL - NH",38,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",32,"CONTINUUM/ STRAIN, AMANDA - FL",33,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",33,"CANOLETTO/ DEVINE, PARKER - CT",30,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",,"ORLEANS/ FLETCHER, EMMA - MA",30,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",35,BLUE BAYOU/ KAMI SKY LLC - CT,29,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",36,"DOM PERIGNON/ SEAMAN, CALLIE - NY",26,(2 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",37,KYLO REN/ SPRINGEN HORSES - CT,14,(1 comps)
2021 Points Display,"JUNIOR HUNTER 3'3""-LARGE 15 & UNDER",38,"LACHLAN/ GITTERMAN, ANNABELLE - MA",13,(1 comps)
